name,name_fr,type,type_fr,region,hideLine
Coastal Resilience Demonstrator,Démonstrateur de résilience côtière,Referred Project,Projets soumis,British Columbia,
Prairie Hydrogen Test Hub,Pôle d'essai d'hydrogène des Prairies,Transformative Strategy,Stratégies de transformation,Alberta,
Northern Grain Logistics Pilot,Projet pilote de logistique céréalière du Nord,Referred Project,Projets soumis,Saskatchewan,
Lake Climate Monitoring Network,Réseau de surveillance climatique des lacs,Transformative Strategy,Stratégies de transformation,Manitoba,
Great Lakes Clean Freight Pilot,Projet pilote de transport propre des Grands Lacs,Referred Project,Projets soumis,Ontario,
St. Lawrence Retrofit Program,Programme de modernisation du Saint-Laurent,Transformative Strategy,Stratégies de transformation,Quebec,
Bay of Fundy Research Centre,Centre de recherche de la baie de Fundy,Referred Project,Projets soumis,New Brunswick,
Island Food Innovation Lab,Laboratoire insulaire d'innovation alimentaire,Transformative Strategy,Stratégies de transformation,Prince Edward Island,
Atlantic Grid Demonstrator,Démonstrateur du réseau atlantique,Referred Project,Projets soumis,Nova Scotia,
Labrador Remote Power Pilot,Projet pilote d'énergie à distance au Labrador,Transformative Strategy,Stratégies de transformation,Newfoundland and Labrador,
Yukon Broadband Test Corridor,Corridor d'essai de la large bande au Yukon,Referred Project,Projets soumis,Yukon,
Mackenzie Emergency Supply Hub,Pôle d'approvisionnement d'urgence du Mackenzie,Transformative Strategy,Stratégies de transformation,Northwest Territories,
Arctic Community Housing Pilot,Projet pilote de logement communautaire dans l'Arctique,Referred Project,Projets soumis,Nunavut,yes
