name,type,lon,lat
Grays Bay Road and Port,Referred Project,-108.4,68.5
Arctic Economic and Security Corridor,Referred Project,-112.5,64.5
Mackenzie Valley Highway,Referred Project,-124.0,65.5
Red Chris Mine Expansion,Referred Project,-129.9,57.7
Ksi Lisims LNG,Referred Project,-130.1,55.1
North Coast Transmission Line,Referred Project,-128.0,54.9
LNG Canada Phase 2,Referred Project,-128.65,54.05
Northwest Critical Conservation Corridor,Transformative Strategy,-130.0,58.2
Pathways Plus,Transformative Strategy,-111.4,56.7
McIlvenna Bay Copper Mine,Referred Project,-103.9,54.5
Crawford Nickel,Referred Project,-81.33,48.47
Darlington New Nuclear Project,Referred Project,-78.72,43.87
Nouveau Monde Graphite's Matawinie Mine,Referred Project,-73.92,46.68
Contrecoeur Terminal Container Project,Transformative Strategy,-73.23,45.85
Northcliff Resources' Sisson Mine,Referred Project,-67.25,46.35
Wind West Atlantic Energy,Transformative Strategy,-63.2,45.0
Iqaluit Hydro,Referred Project,-68.52,63.75
Port of Churchill Plus,Transformative Strategy,-94.17,58.77
Taltson Hydro Expansion Project,Referred Project,-111.0,60.5
"Alto High-Speed Rail, Ontario-Quebec Corridor",Transformative Strategy,-74.5,45.8
Critical Minerals Strategy,Transformative Strategy,,
