name,name_fr,type,type_fr,city,hideLine
Coastal Mobility Test Site,Site d'essai de mobilité côtière,Referred Project,Projets soumis,"Vancouver, BC",
Prairie Energy Demonstrator,Démonstrateur énergétique des Prairies,Transformative Strategy,Stratégies de transformation,"Calgary, AB",
Urban Food Logistics Pilot,Projet pilote de logistique alimentaire urbaine,Referred Project,Projets soumis,"Regina, SK",
Flood Response Coordination Hub,Pôle de coordination des interventions en cas d'inondation,Transformative Strategy,Stratégies de transformation,"Winnipeg, MB",
Great Lakes Clean Freight Lab,Laboratoire de transport propre des Grands Lacs,Referred Project,Projets soumis,"Toronto, ON",
Circular Construction Test Centre,Centre d'essai en construction circulaire,Transformative Strategy,Stratégies de transformation,"Montréal, QC",
River Sensor Research Station,Station de recherche sur les capteurs fluviaux,Referred Project,Projets soumis,"Fredericton, NB",
Island Food Innovation Lab,Laboratoire insulaire d'innovation alimentaire,Transformative Strategy,Stratégies de transformation,"Charlottetown, PE",
Atlantic Grid Simulation Centre,Centre de simulation du réseau atlantique,Referred Project,Projets soumis,"Halifax, NS",
Harbour Electrification Pilot,Projet pilote d'électrification portuaire,Transformative Strategy,Stratégies de transformation,"St. John's, NL",
Northern Broadband Test Lab,Laboratoire d'essai de la large bande nordique,Referred Project,Projets soumis,"Whitehorse, YT",
Cold-Climate Supply Hub,Pôle d'approvisionnement en climat froid,Transformative Strategy,Stratégies de transformation,"Yellowknife, NT",
Arctic Housing Materials Lab,Laboratoire des matériaux de construction arctiques,Referred Project,Projets soumis,"Iqaluit, NU",yes
